Harga,Merk & Model,Tahun,Tipe / Varian,Jenis Transmisi,Warna,Jarak Tempuh,STNK,BPKB,Buku Servis
Rp 22.200.000,"Honda, Vario160",2024,CBS Grande,Matic,Hitam,10.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 18.800.000,"Honda, Vario125",2021,CBS,Matic,Merah,35.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 20.800.000,"Honda, Scoopy",2024,Prestige/Stylish,Matic,Putih,4.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 20.800.000,"Honda, Scoopy",2024,Prestige/Stylish,Matic,Putih,10.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 18.900.000,"Honda, Vario125",2021,CBS,Matic,Merah,30.000 KM,Tidak Tersedia,Tidak Tersedia,Tidak Tersedia
Rp 20.800.000,"Honda, Scoopy",2024,Prestige/Stylish,Matic,Putih,4.000 KM,Tidak Tersedia,Tidak Tersedia,Tidak Tersedia
Rp 16.500.000,"Honda, Vario150",2019,,Matic,Putih,15.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 14.000.000,"Honda, BeAT",2023,(Deluxe) CBS-ISS,Matic,Hitam,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 22.500.000,"Honda, Vario160",2024,CBS Grande,Matic,Biru,15.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 15.000.000,"Honda, Scoopy",2023,Prestige/Stylish,Matic,Hitam,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 16.000.000,"Honda, BeAT",2024,Deluxe,Matic,Hitam,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 20.000.000,"Honda, Vario125",2023,CBS ISS,Matic,Hitam,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 15.500.000,"Honda, BeATStreet",2024,,Matic,Hitam,1.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 29.000.000,"Honda, PCX160",2024,CBS,Matic,Hitam,1.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 14.900.000,"Honda, Scoopy",2020,,Matic,Merah,18.622 KM,Tersedia,Tersedia,Tersedia
Rp 12.900.000,"Honda, BeAT",2019,CW,Matic,Putih,29.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 21.800.000,"Honda, Vario160",2023,CBS,Matic,Hitam,13.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 17.500.000,"Honda, BeAT",2024,Deluxe,Matic,Hitam,12.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 19.500.000,"Honda, Scoopy",2023,Prestige/Stylish,Matic,Hijau,16.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 20.000.000,"Honda, Vario125",2023,CBS ISS,Matic,Hitam,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 15.500.000,"Honda, BeATStreet",2024,,Matic,Hitam,1.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 29.000.000,"Honda, PCX160",2024,CBS,Matic,Biru,1.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 14.500.000,"Honda, BeAT",2023,CBS,Matic,Hitam,51.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 14.500.000,"Honda, BeAT",2023,CBS,Matic,Biru,10.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 14.500.000,"Honda, BeAT",2023,CBS,Matic,Biru,50.000 KM,Tidak Tersedia,Tidak Tersedia,Tidak Tersedia
Rp 21.800.000,"Honda, Vario160",2023,CBS,Matic,Hitam,10.000 KM,Tidak Tersedia,Tidak Tersedia,Tidak Tersedia
Rp 11.300.000,"Honda, CBR150R",2014,,Sports,Orange,30.000 KM,Tidak Tersedia,Tidak Tersedia,Tidak Tersedia
Rp 14.500.000,"Honda, Vario150",2017,,Matic,Hitam,50.000 KM,Tidak Tersedia,Tidak Tersedia,Tidak Tersedia
